Number of Bills: 2804
103 	SB 	Hall 	Relating to the provision of bags to customers of a business at the point of sale. 	03/14/2017 	S 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB103
104 	SB 	Hall 	Relating to prohibiting certain physician questions regarding firearms. 	01/25/2017 	S 	Referred to Health &amp; Human Services 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB104
105 	SB 	Hall 	Relating to abolishing the Pan American Games trust fund, Olympic Games trust fund, Major Events reimbursement program fund, Motor Sports Racing trust fund, and Events trust fund. 	03/14/2017 	S 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB105
106 	SB 	Hall 	Relating to criminal offenses applicable to gambling devices, including eight-liners. 	01/25/2017 	S 	Referred to State Affairs 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB106
107 	SB 	Hall 	Relating to rules adopted by the Texas Ethics Commission relating to lobbyists or the reporting of political contributions or expenditures. 	01/25/2017 	S 	Referred to State Affairs 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB107
108 	SB 	Hall 	Relating to increasing the punishment for certain felony offenses committed by a person who is unlawfully present in the United States. 	01/25/2017 	S 	Referred to State Affairs 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB108
109 	SB 	Huffines 	Relating to the establishment of a limit on the number of terms a judge or justice may serve on a court in this state. 	01/25/2017 	S 	Referred to State Affairs 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB109
110 	SB 	Huffines 	Relating to term limits for elected officers of political subdivisions. 	01/25/2017 	S 	Referred to State Affairs 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB110
111 	SB 	Huffines 	Relating to prohibiting the use of photographic traffic enforcement systems. 	01/25/2017 	S 	Referred to Transportation 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB111
112 	SB 	Huffines 	Relating to the decrease of the rates of the franchise tax under certain circumstances and the expiration of that tax. 	01/25/2017 	S 	Referred to Finance 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB112
113 	SB 	Huffines 	Relating to the provision of and local regulation of certain for-hire passenger transportation. 	03/14/2017 	S 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB113
114 	SB 	Huffines 	Relating to Texas Department of Transportation expenditures for toll facility acquisition and construction. 	01/25/2017 	S 	Referred to Transportation 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB114
115 	SB 	Huffines 	Relating to the Internet broadcast of certain open meetings. 	03/20/2017 	S 	Committee report printed and distributed: Mar 20 2017  2:09PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB115
116 	SB 	Huffines 	Relating to the Internet broadcast of open meetings of the Texas Racing Commission. 	01/25/2017 	S 	Referred to Business &amp; Commerce 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB116
117 	SB 	Huffines 	Relating to the Internet broadcast of open meetings of the Texas Workforce Commission. 	01/25/2017 	S 	Referred to Business &amp; Commerce 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB117
118 	SB 	Huffines 	Relating to the Internet broadcast of open meetings of the Texas Board of Criminal Justice. 	01/25/2017 	S 	Referred to Business &amp; Commerce 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB118
